country,fiscal_year,total,,
Russia,2006,16190,,
Russia,2007,11706,,
Russia,2008,15179,,
Russia,2009,10362,,
Russia,2010,7502,,
Russia,2011,8548,,
Russia,2012,10114,,
Russia,2013,10154,,
Russia,2014,9455,,
Russia,2015,9030,,
Russia,2016,9280,,
Russia,2017,8841,,
South Africa,2001,4046,,
South Africa,2002,3685,,
South Africa,2003,2088,,
South Africa,2004,3335,,
South Africa,2005,4425,,
South Africa,2006,3173,,
South Africa,2007,2842,,
South Africa,2008,2638,,
South Africa,2009,3175,,
South Africa,2010,2705,,
South Africa,2011,2754,,
South Africa,2012,2960,,
South Africa,2013,2693,,
South Africa,2014,2871,,
South Africa,2015,3298,,
South Africa,2016,3441,,
South Africa,2017,3438,,
Soviet Union,1994,64502,,
Soviet Union,1995,54133,,
Soviet Union,1996,61895,,
Soviet Union,1997,48238,,
Soviet Union,1998,28984,,
Soviet Union,1999,32740,,
Soviet Union,2000,43807,,
Spain,1994,1756,,
Spain,1995,1664,,
Spain,1996,1970,,
Spain,1997,1607,,
Spain,1998,1185,,
Spain,1999,1074,,
Spain,2000,1406,,
Spain,2001,1875,,
Spain,2002,1588,,
Spain,2003,1102,,
Spain,2004,1453,,
Spain,2005,2002,,
Spain,2006,2387,,
Spain,2007,1810,,
Spain,2008,1970,,
Spain,2009,2118,,
Spain,2010,2040,,
Spain,2011,2319,,
Spain,2012,2316,,
Spain,2013,2970,,
Spain,2014,3341,,
Spain,2015,3707,,
Spain,2016,4018,,
Spain,2017,3555,,
Suriname,2001,254,,
Suriname,2002,223,,
Suriname,2003,175,,
Suriname,2004,170,,
Suriname,2005,287,,
Suriname,2006,341,,
Suriname,2007,193,,
Suriname,2008,225,,
Suriname,2009,214,,
Suriname,2010,202,,
Suriname,2011,167,,
Suriname,2012,216,,
Suriname,2013,170,,
Suriname,2014,160,,
Suriname,2015,116,,
Suriname,2016,130,,
Suriname,2017,111,,
Sweden,1994,1289,,
Sweden,1995,1142,,
Sweden,1996,1463,,
Sweden,1997,1126,,
Sweden,1998,1017,,
Sweden,1999,926,,
Sweden,2000,1464,,
Sweden,2001,1962,,
Sweden,2002,1622,,
Sweden,2003,1131,,
Sweden,2004,1554,,
Sweden,2005,1792,,
Sweden,2006,1579,,
Sweden,2007,1216,,
Sweden,2008,1171,,
Sweden,2009,1297,,
Sweden,2010,1299,,
Sweden,2011,1125,,
Sweden,2012,1127,,
Sweden,2013,1276,,
Sweden,2014,1147,,
Sweden,2015,1194,,
Sweden,2016,1325,,
Sweden,2017,1146,,
Switzerland,1994,1183,,
Switzerland,1995,1119,,
Switzerland,1996,1344,,
Switzerland,1997,1302,,
Switzerland,1998,1090,,
Switzerland,1999,885,,
Switzerland,2000,1349,,
Switzerland,2001,1786,,
Switzerland,2002,1493,,
Switzerland,2003,862,,
Switzerland,2004,1193,,
Switzerland,2005,1465,,
Switzerland,2006,1199,,
Switzerland,2007,885,,
Switzerland,2008,936,,
Switzerland,2009,1015,,
Switzerland,2010,868,,
Switzerland,2011,861,,
Switzerland,2012,916,,
Switzerland,2013,1040,,
Switzerland,2014,888,,
Switzerland,2015,1007,,
Switzerland,2016,1090,,
Switzerland,2017,837,,
Syria,2001,3542,,
Syria,2002,3350,,
Syria,2003,2046,,
Syria,2004,2549,,
Syria,2005,3350,,
Syria,2006,3080,,
Syria,2007,2550,,
Syria,2008,3310,,
Syria,2009,4775,,
Syria,2010,7424,,
Syria,2011,7983,,
Syria,2012,6674,,
Syria,2013,3999,,
Syria,2014,4677,,
Syria,2015,5459,,
Syria,2016,3800,,
Syria,2017,3010,,
Taiwan,2001,12457,,
Taiwan,2002,9932,,
Taiwan,2003,7168,,
Taiwan,2004,9314,,
Taiwan,2005,9389,,
Taiwan,2006,8545,,
Taiwan,2007,9053,,
Taiwan,2008,9237,,
Taiwan,2009,8105,,
Taiwan,2010,6785,,
Taiwan,2011,6206,,
Taiwan,2012,5295,,
Taiwan,2013,5336,,
Taiwan,2014,4712,,
Taiwan,2015,4814,,
Taiwan,2016,5062,,
Taiwan,2017,4787,,
Turkey,1994,3880,,
Turkey,1995,4806,,
Turkey,1996,5573,,
Turkey,1997,4596,,
Turkey,1998,4016,,
Turkey,1999,2472,,
Turkey,2000,2713,,
Turkey,2001,3463,,
Turkey,2002,3914,,
Turkey,2003,3318,,
Turkey,2004,4491,,
Turkey,2005,6449,,
Turkey,2006,6433,,
Turkey,2007,4728,,
Turkey,2008,4953,,
Turkey,2009,7943,,
Turkey,2010,7435,,
Turkey,2011,9040,,
Turkey,2012,7362,,
Turkey,2013,7189,,
Turkey,2014,7248,,
Turkey,2015,8762,,
Turkey,2016,8635,,
Turkey,2017,9144,,
United Kingdom,1994,17666,,
United Kingdom,1995,14207,,
United Kingdom,1996,15564,,
United Kingdom,1997,11950,,
United Kingdom,1998,10170,,
United Kingdom,1999,8663,,
United Kingdom,2000,14532,,
United Kingdom,2001,20118,,
United Kingdom,2002,17940,,
United Kingdom,2003,11155,,
United Kingdom,2004,16680,,
United Kingdom,2005,21956,,
United Kingdom,2006,19984,,
United Kingdom,2007,16113,,
United Kingdom,2008,16189,,
United Kingdom,2009,17417,,
United Kingdom,2010,14781,,
United Kingdom,2011,13443,,
United Kingdom,2012,13938,,
United Kingdom,2013,15321,,
United Kingdom,2014,14395,,
United Kingdom,2015,14653,,
United Kingdom,2016,14887,,
United Kingdom,2017,13318,,
Uruguay,2001,516,,
Uruguay,2002,499,,
Uruguay,2003,470,,
Uruguay,2004,750,,
Uruguay,2005,1110,,
Uruguay,2006,1639,,
Uruguay,2007,1340,,
Uruguay,2008,1380,,
Uruguay,2009,1727,,
Uruguay,2010,1286,,
Uruguay,2011,1521,,
Uruguay,2012,1348,,
Uruguay,2013,1314,,
Uruguay,2014,1098,,
Uruguay,2015,1023,,
Uruguay,2016,911,,
Uruguay,2017,952,,
Venezuela,2001,5576,,
Venezuela,2002,5529,,
Venezuela,2003,4190,,
Venezuela,2004,6335,,
Venezuela,2005,10870,,
Venezuela,2006,11758,,
Venezuela,2007,10696,,
Venezuela,2008,10689,,
Venezuela,2009,11392,,
Venezuela,2010,9497,,
Venezuela,2011,9229,,
Venezuela,2012,9464,,
Venezuela,2013,9512,,
Venezuela,2014,8289,,
Venezuela,2015,8985,,
Venezuela,2016,10590,,
Venezuela,2017,11465,,
Vietnam,1994,32387,,
Vietnam,1995,37764,,
Vietnam,1996,39922,,
Vietnam,1997,37121,,
Vietnam,1998,16534,,
Vietnam,1999,19164,,
Vietnam,2000,25340,,
Vietnam,2001,34537,,
Vietnam,2002,32372,,
Vietnam,2003,21227,,
Vietnam,2004,30074,,
Vietnam,2005,30832,,
Vietnam,2006,29701,,
Vietnam,2007,27510,,
Vietnam,2008,29807,,
Vietnam,2009,28397,,
Vietnam,2010,30065,,
Vietnam,2011,33486,,
Vietnam,2012,27578,,
Vietnam,2013,26578,,
Vietnam,2014,29825,,
Vietnam,2015,30332,,
Vietnam,2016,40412,,
Vietnam,2017,37541,,
Yugoslavia,1994,3183,,
Yugoslavia,1995,7828,,
Yugoslavia,1996,10755,,
Yugoslavia,1997,9913,,
Yugoslavia,1998,7264,,
Yugoslavia,1999,7077,,
Yugoslavia,2000,12213,,
Yugoslavia,2001,21854,,
Yugoslavia,2002,28051,,
Yugoslavia,2003,8270,,
Yugoslavia,2004,13213,,
Yugoslavia,2005,19249,,
Yugoslavia,2006,11066,,
Yugoslavia,2007,6364,,
Yugoslavia,2008,5812,,
Yugoslavia,2009,5992,,
Yugoslavia,2010,4772,,
Yugoslavia,2011,4611,,
Yugoslavia,2012,4488,,
Yugoslavia,2013,4445,,
Yugoslavia,2014,4321,,
Yugoslavia,2015,4721,,
Yugoslavia,2016,5392,,
Yugoslavia,2017,4966,,
